#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-27CE28954D9AD434-3CD38C0DB90B4A8E
#datatype	hitsConcise Results
#status	0
#Start time	2025-03-03T00:55:25	Run time	0:00:09:20
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#90 - >XP_021887688.1 uncharacterized protein LOC110806980 [Carica papaya]	specific	197842	27	80	2.53158e-07	47.6037	smart00717	SANT	 - 	cl21498
Q#91 - >XP_021887695.1 uncharacterized protein LOC110806987 [Carica papaya]	superfamily	473870	189	215	0.00128081	35.9909	cl21462	bZIP superfamily	N	 - 
Q#92 - >XP_021887700.1 LOW QUALITY PROTEIN: uncharacterized protein LOC110806993 [Carica papaya]	specific	427141	74	122	5.03633e-08	48.143	pfam03107	C1_2	 - 	cl03893
Q#92 - >XP_021887700.1 LOW QUALITY PROTEIN: uncharacterized protein LOC110806993 [Carica papaya]	specific	427141	133	188	2.09745e-06	43.9058	pfam03107	C1_2	 - 	cl03893
Q#97 - >XP_021887758.1 LOW QUALITY PROTEIN: uncharacterized protein LOC110807046 [Carica papaya]	specific	380916	1898	2037	8.50399e-66	219.391	cd10518	SET_SETD1-like	 - 	cl40432
Q#97 - >XP_021887758.1 LOW QUALITY PROTEIN: uncharacterized protein LOC110807046 [Carica papaya]	specific	277046	1701	1793	7.01748e-21	89.5663	cd15571	ePHD	N	cl22851
Q#97 - >XP_021887758.1 LOW QUALITY PROTEIN: uncharacterized protein LOC110807046 [Carica papaya]	superfamily	227470	1610	1776	2.55312e-18	91.5829	cl34917	COG5141 superfamily	NC	 - 
Q#97 - >XP_021887758.1 LOW QUALITY PROTEIN: uncharacterized protein LOC110807046 [Carica papaya]	specific	465033	264	308	8.37527e-11	58.8672	pfam16135	TDBD	 - 	cl24645
Q#99 - >XP_021887789.1 uncharacterized protein LOC110807078 isoform X2 [Carica papaya]	superfamily	471961	160	522	2.98848e-07	53.3105	cl10013	Glycosyltransferase_GTB-type superfamily	 - 	 - 
Q#100 - >XP_021887796.1 uncharacterized protein LOC110807082 isoform X1 [Carica papaya]	superfamily	471850	99	209	1.13294e-13	64.9745	cl09109	NTF2_like superfamily	 - 	 - 
Q#101 - >XP_021887797.1 uncharacterized protein LOC110807082 isoform X2 [Carica papaya]	superfamily	471850	99	190	2.79546e-05	41.8626	cl09109	NTF2_like superfamily	 - 	 - 
Q#102 - >XP_021887798.1 uncharacterized protein LOC110807082 isoform X3 [Carica papaya]	superfamily	471850	99	190	1.02212e-05	43.0182	cl09109	NTF2_like superfamily	 - 	 - 
